sol,target,Easting,Northing,Easting,Latitude,Longitude,Easting Offset from Ronan,Northing Offset from Ronan,start_time,gnorm,sh_tavg,lifetime,Fe_FWHM,Na2O,Na2O_err,MgO,MgO_err,Al2O3,Al2O3_err,SiO2,SiO2_err,P2O5,P2O5_err,SO3,SO3_err,Cl,Cl_err,K2O,K2O_err,CaO,CaO_err,TiO2,TiO2_err,Cr2O3,Cr2O3_err,MnO,MnO_err,FeO,FeO_err,Ni,Ni_err,Zn,Zn_err,Br,Br_err,source_edrs,planning_target,
1082,Ravalli,-276853.2909,8142513.172,-276853.2909,137.36938258247,-4.67143238862121,-54.329,-139.2763,01082M19:42:35,105.5,-52.5,7:30:00,150.5,3.43,0.14,7.8,0.17,10.44,0.29,45.65,0.54,0.78,0.05,2.62,0.05,0.52,0.01,1.36,0.05,7.08,0.08,0.85,0.03,0.5,0.01,0.41,0.02,18.47,0.2,351,20,546,20,24,5,APB_493587808ESC10820491216_______M1.DAT:APB_493602628ESC10830491216_______M2.DAT,,
1092,Ivanhoe,-276902.102,8142530.895,-276902.102,137.369825447904,-4.67161420346038,-36.606,-188.0874,01092M22:23:49,82.7,-61.2,7:00:00,155.3,2.2,0.07,4.17,0.17,4.11,0.1,62.07,0.64,2.28,0.12,11.04,0.12,0.98,0.02,0.42,0.02,5.23,0.06,1.48,0.05,0.1,0.01,0.04,0.02,5.65,0.07,48,24,32,24,546,20,APB_494485491ESC10930491876_______M1.DAT:APB_494500311ESC10930491876_______M2.DAT,,
1097,Conniption,-276912.8816,8142557.152,-276912.8816,137.368801107594,-4.6727441706431,-10.349,-198.867,01097M20:03:36,98.1,-43.9,6:30:00,147.5,2.78,0.14,8.17,0.17,11.32,0.29,43.39,0.54,0.88,0.05,5.66,0.08,1.56,0.02,0.48,0.02,5.98,0.07,0.96,0.03,0.48,0.01,0.35,0.02,17.83,0.2,502,30,478,15,126,5,APB_494920720ESC10970492236_______M1.DAT:APB_494935540ESC10980492236_______M1.DAT,,
1109,Cody,-276979.8761,8142496.42,-276979.8761,137.369263959909,-4.67279112885062,-71.081,-265.8615,01110M01:37:12,81.9,-61.7,4:00:00,154.3,1.75,0.07,3.56,0.08,3.45,0.1,66.83,0.75,1.93,0.12,9.55,0.1,0.81,0.02,0.84,0.04,3.4,0.04,1.31,0.05,0.2,0.01,0.07,0.02,6.08,0.07,78,10,403,15,627,20,APB_495991759ESC11100500322_______M1.DAT:APB_496006579ESC11100500322_______M1.DAT,,
1102,Badlands,-276982.6602,8142523.862,-276982.6602,137.36908490444,-4.67289330988318,-43.639,-268.6456,01102M20:49:07,90.4,-57.8,7:31:12,162.2,3.25,0.14,8.42,0.25,8.86,0.19,43.57,0.54,0.74,0.05,5.08,0.08,1.52,0.02,0.93,0.04,5.86,0.07,0.89,0.03,0.39,0.01,0.53,0.02,19.87,0.26,485,24,449,15,276,10,APB_495365598ESC11030492902_______M1.DAT:APB_495380418ESC11030492902_______M1.DAT,,
1105,Winnipeg,-276988.7184,8142513.246,-276988.7184,137.368566982785,-4.67309025234576,-54.255,-274.7038,01105M20:16:25,93.9,-41.8,4:00:00,146.9,2.6,0.14,6.38,0.17,8.93,0.19,47.14,0.54,1.21,0.07,5.99,0.08,0.68,0.02,0.79,0.02,5.65,0.07,1.06,0.03,0.32,0.01,0.41,0.02,18.51,0.2,662,35,1420,44,189,10,APB_495631705ESC11060500000_______M1.DAT:APB_495646525ESC11060500000_______M1.DAT,,
1124,Big_Sky_presieve_dump,-277000.3949,8142482.539,-277000.3949,137.368604662695,-4.67311713090598,-84.962,-286.3803,01124M20:02:33,71.6,-58.2,8:01:12,159.7,2.71,0.14,8.54,0.25,9.57,0.29,43.66,0.54,0.89,0.05,6,0.08,1.36,0.02,0.42,0.02,6.53,0.07,0.92,0.03,0.4,0.01,0.39,0.02,18.51,0.2,427,24,309,10,308,10,APB_497317565ESC11240500592_______M1.DAT:APB_497332385ESC11250500592_______M1.DAT,,
1134,Pilgrim,-277001.9885,8142484.773,-277001.9885,137.368346705428,-4.67327706812187,-82.728,-287.9739,01134M22:27:33,35.2,-60.3,3:00:00,155.3,1.96,0.07,0.99,0.83,1.27,0.96,63.59,0.64,1.84,0.12,13.1,0.17,0.82,0.03,0.23,0.01,6.58,0.07,1.14,0.05,0.31,0.01,0.05,0.02,7.96,0.13,100,15,93,10,544,20,APB_498214247ESC11350500676_______M1.DAT,,
1150,Ennis,-277011.471,8142469.479,-277011.471,137.368360789011,-4.67328780537804,-98.022,-297.4564,01151M00:45:51,81.4,-66.6,7:00:00,147.9,2.56,0.14,10.12,0.25,8.79,0.19,44.61,0.54,0.76,0.05,4.9,0.08,1.33,0.02,0.31,0.01,5.51,0.06,0.87,0.03,0.41,0.01,0.43,0.02,19.36,0.26,456,24,324,10,192,10,APB_499639563ESC11510501116_______M1.DAT:APB_499654384ESC11510501116_______M1.DAT,,
1150,Exshaw,-277012.1076,8142470.314,-277012.1076,137.363640865936,-4.67749945784784,-97.187,-298.093,01150M17:51:25,91.5,-36.8,4:00:00,146.3,2.73,0.14,9.54,0.25,8.84,0.19,44.49,0.54,0.78,0.05,3.96,0.05,1.65,0.03,0.29,0.01,6.15,0.07,0.87,0.03,0.43,0.01,0.44,0.02,19.76,0.26,428,24,417,15,240,10,APB_499618036ESC11500501116_______M1.DAT:APB_499610416ESC11500501116_______M1.DAT,,
1266,Waterberg,-277261.8118,8142190.475,-277261.8118,137.358683023076,-4.67807835382649,-377.026,-547.7972,01266M17:12:21,97.5,-30.8,5:11:55,153.3,2.58,0.14,5.94,0.17,9.02,0.19,50.29,0.54,0.83,0.05,4.68,0.05,1.02,0.02,1.08,0.04,4.35,0.06,1,0.03,0.28,0.01,0.26,0.02,18.3,0.2,788,40,966,30,430,15,APB_509906483ESC12660530186_______M1.DAT:APB_509917703ESC12660530186_______M1.DAT,,
